sigla,nome,logo_url
AVANTE,Avante,https://upload.wikimedia.org/wikipedia/commons/7/7a/Bandeira-partido-avante.png
CIDADANIA,Cidadania,https://upload.wikimedia.org/wikipedia/commons/d/d7/Logo_do_Cidadania_23.png
DC,Democracia Cristã,https://upload.wikimedia.org/wikipedia/commons/c/cd/Bandeira-democracia-crist%C3%A3.png
MDB,Movimento Democrático Brasileiro,https://upload.wikimedia.org/wikipedia/commons/a/a8/Movimento_Democr%C3%A1tico_Brasileiro_%282017%29.png
MISSÃO,Missão,https://upload.wikimedia.org/wikipedia/commons/6/6e/Partido_Miss%C3%A3o_logo_%28dark%29.svg
NOVO,Partido Novo,https://upload.wikimedia.org/wikipedia/commons/6/64/Partido_Novo_logo_%282020%29.svg
PCdoB,Partido Comunista do Brasil,https://upload.wikimedia.org/wikipedia/commons/e/e5/PCdoB_flag.svg
PCO,Partido da Causa Operária,https://upload.wikimedia.org/wikipedia/commons/4/4a/Bandeira_do_Partido_da_Causa_Oper%C3%A1ria%2C_do_Brasil.png
PDT,Partido Democrático Trabalhista,https://upload.wikimedia.org/wikipedia/commons/5/51/LogoPDT.svg
PL,Partido Liberal,https://upload.wikimedia.org/wikipedia/commons/1/12/Partido_Liberal_%28Brazil%29_logo.svg
PMB,Partido da Mulher Brasileira,https://upload.wikimedia.org/wikipedia/commons/f/f2/Logomarca_do_Partido_da_Mulher_Brasileira_%282008%29.png
PODE,Podemos,https://upload.wikimedia.org/wikipedia/commons/9/99/Logo_Podemos_20.png
PP,Progressistas,https://upload.wikimedia.org/wikipedia/commons/0/0d/Partido_Progressista_%28Brazil%29_logo.svg
PRD,Partido Renovação Democrática,https://upload.wikimedia.org/wikipedia/commons/2/2c/PRD_logo.png
PROS,Partido Republicano da Ordem Social,https://upload.wikimedia.org/wikipedia/commons/8/8a/PROS_logo.png
PRTB,Partido Renovador Trabalhista Brasileiro,https://upload.wikimedia.org/wikipedia/commons/7/76/PRTB-LOGO-04-1024x393.png
PSB,Partido Socialista Brasileiro,https://upload.wikimedia.org/wikipedia/commons/1/19/Partido_Socialista_Brasileiro_logo.png
PSC,Partido Social Cristão,https://upload.wikimedia.org/wikipedia/commons/a/a9/PSC_logo%28cortado%29.png
PSD,Partido Social Democrático,https://upload.wikimedia.org/wikipedia/commons/0/0c/PSD_Brazil_logo.svg
PSDB,Partido da Social Democracia Brasileira,https://upload.wikimedia.org/wikipedia/commons/9/9c/Logomarca_do_Partido_da_Social_Democracia_Brasileira.png
PSOL,Partido Socialismo e Liberdade,https://upload.wikimedia.org/wikipedia/commons/f/f4/Logo_PSOL_roxo.svg
PT,Partido dos Trabalhadores,https://upload.wikimedia.org/wikipedia/commons/b/be/Logo_do_Partido_dos_Trabalhadores.svg
PV,Partido Verde,https://upload.wikimedia.org/wikipedia/commons/4/46/Logomarca_do_Partido_Verde.svg
REDE,Rede Sustentabilidade,https://upload.wikimedia.org/wikipedia/commons/2/2d/Logomarca_da_Rede_Sustentabilidade_(REDE)%2C_do_Brasil.png
REPUBLICANOS,Republicanos,https://upload.wikimedia.org/wikipedia/commons/3/3c/Logomarca_do_Partido_Republicano_Brasileiro_%282005%E2%80%932012%29.png
SOLIDARIEDADE,Solidariedade,https://upload.wikimedia.org/wikipedia/commons/f/fe/Logomarca_do_Partido_Solidariedade.png
UNIÃO,União Brasil,https://upload.wikimedia.org/wikipedia/commons/7/73/Uni%C3%A3o_Brasil_logo.svg
UP,Unidade Popular,https://upload.wikimedia.org/wikipedia/commons/b/bd/UP_Flag2.svg